CO_ORGACAD;ORGANIZACAO_ACADEMICA
1;Universidade
2;Universidade Especializada
3;Centro Universitario
4;Centro Universitario Especializado
5;Faculdades Integradas
6;Faculdade
7;Instituto Superior ou Escola Superior
8;Centro Federal de Educacao Tecnologica
9;Faculdade de Tecnologia
10;IES especialmente credenciada para oferta de cursos lato sensu
11;Instituto Federal de Educacao, Ciencia e Tecnologia
10019;Centro Federal de Educacao Tecnologica
10020;Centro Universitario
10022;Faculdade 
10026;Instituto Federal de Educacao, Ciencia e Tecnologia
10027;Instituto Superior ou Escola Superior
10028;Universidade
